,predicted,actual
0,western,western
1,romance,romance
2,romance,romance
3,horror,horror
4,animation,animation
5,drama,drama
6,horror,sci-fi
7,action,western
8,animation,drama
9,romance,comedy
10,horror,romance
11,action,horror
12,comedy,drama
13,drama,drama
14,action,drama
15,crime,western
16,horror,sci-fi
17,horror,drama
18,horror,drama
19,crime,action
20,comedy,crime
21,crime,comedy
22,drama,drama
23,drama,drama
24,action,action
25,animation,horror
26,western,comedy
27,animation,horror
28,drama,romance
29,horror,action
30,sci-fi,drama
31,action,horror
32,action,action
33,horror,crime
34,action,action
35,horror,horror
36,animation,animation
37,crime,sci-fi
38,drama,drama
39,sci-fi,action
40,action,action
41,horror,horror
42,drama,romance
43,western,western
44,western,drama
45,crime,drama
46,action,drama
47,crime,horror
48,western,comedy
49,romance,romance
50,comedy,crime
51,comedy,horror
52,animation,sci-fi
53,drama,western
54,horror,drama
55,romance,drama
56,drama,drama
57,crime,crime
58,comedy,comedy
59,action,sci-fi
60,action,romance
61,comedy,comedy
62,animation,animation
63,drama,drama
64,horror,drama
65,horror,horror
66,action,comedy
67,comedy,drama
68,comedy,action
69,western,western
70,drama,romance
71,drama,drama
72,romance,action
73,western,western
74,drama,drama
75,drama,romance
76,drama,western
77,drama,action
78,horror,drama
79,drama,crime
80,action,horror
81,comedy,crime
82,western,drama
83,comedy,comedy
84,western,horror
85,horror,horror
86,action,comedy
87,crime,drama
88,romance,horror
89,comedy,horror
90,western,western
91,crime,western
92,crime,crime
93,romance,romance
94,comedy,romance
95,romance,drama
96,western,western
97,western,crime
98,horror,romance
99,horror,drama
100,drama,drama
101,animation,action
102,animation,animation
103,horror,drama
104,horror,horror
105,romance,action
106,comedy,horror
107,horror,horror
108,action,romance
109,animation,animation
110,comedy,comedy
111,action,action
112,horror,western
113,western,action
114,comedy,drama
115,animation,comedy
116,romance,action
117,horror,horror
118,western,crime
119,action,action
120,animation,drama
121,comedy,drama
122,western,romance
123,action,action
124,drama,comedy
125,western,crime
126,horror,drama
127,action,horror
128,horror,drama
129,comedy,action
130,drama,sci-fi
131,drama,drama
132,drama,drama
133,crime,comedy
134,romance,action
135,western,comedy
136,comedy,action
137,action,drama
138,drama,comedy
139,romance,drama
140,action,comedy
141,western,action
142,western,crime
143,action,comedy
144,crime,romance
145,comedy,comedy
146,romance,action
147,horror,horror
148,western,western
149,western,western
150,romance,comedy
151,action,comedy
152,drama,romance
153,drama,animation
154,animation,animation
155,horror,comedy
156,crime,drama
157,romance,drama
158,crime,sci-fi
159,comedy,western
160,action,drama
161,romance,sci-fi
162,drama,drama
163,crime,romance
164,comedy,drama
165,drama,drama
166,horror,drama
167,horror,romance
168,western,western
169,comedy,drama
170,drama,action
171,action,animation
172,horror,action
173,comedy,romance
174,western,drama
175,romance,horror
176,animation,animation
177,comedy,comedy
178,romance,drama
179,western,romance
180,horror,horror
181,western,western
182,animation,horror
183,crime,crime
184,drama,action
185,action,action
186,western,comedy
187,crime,action
188,action,action
189,romance,drama
190,crime,crime
191,action,comedy
192,animation,animation
193,drama,horror
194,action,drama
195,romance,romance
196,drama,western
197,action,action
198,sci-fi,romance
199,drama,drama
200,romance,romance
201,romance,drama
202,romance,comedy
203,drama,drama
204,comedy,horror
205,drama,comedy
206,western,western
207,comedy,drama
208,crime,comedy
209,romance,romance
210,comedy,romance
211,drama,drama
212,action,sci-fi
213,horror,western
214,romance,romance
215,romance,romance
216,comedy,romance
217,western,horror
218,animation,animation
219,western,drama
220,comedy,comedy
221,drama,western
222,action,action
223,western,western
224,western,sci-fi
225,comedy,action
226,western,romance
227,drama,comedy
228,comedy,comedy
229,western,western
230,horror,horror
231,horror,horror
232,drama,drama
233,western,action
234,crime,sci-fi
235,animation,crime
236,comedy,crime
237,romance,romance
238,comedy,drama
239,drama,comedy
240,crime,drama
241,western,action
242,romance,romance
243,drama,horror
244,action,horror
245,horror,horror
246,action,drama
247,romance,drama
248,drama,comedy
249,western,western
250,drama,drama
251,drama,drama
252,western,comedy
253,drama,animation
254,animation,animation
255,romance,comedy
256,romance,drama
257,horror,drama
258,romance,romance
259,action,comedy
260,western,drama
261,action,drama
262,comedy,crime
263,drama,western
264,western,animation
265,western,horror
266,romance,horror
267,horror,drama
268,drama,comedy
269,horror,crime
270,romance,romance
271,drama,drama
272,comedy,comedy
273,action,action
274,comedy,comedy
275,action,drama
276,comedy,comedy
277,romance,action
278,romance,drama
279,western,action
280,horror,western
281,romance,drama
282,western,horror
283,horror,crime
284,horror,animation
285,action,crime
286,horror,western
287,western,western
288,crime,romance
289,western,western
290,drama,sci-fi
291,horror,horror
292,comedy,western
293,crime,comedy
294,romance,crime
295,comedy,romance
296,comedy,horror
297,western,western
298,romance,romance
299,animation,animation
300,western,western
301,drama,horror
302,sci-fi,comedy
303,western,drama
304,drama,comedy
305,drama,romance
306,comedy,horror
307,romance,action
308,action,action
309,horror,horror
310,western,western
311,action,drama
312,western,horror
313,horror,horror
314,romance,romance
315,romance,romance
316,horror,horror
317,action,sci-fi
318,drama,horror
319,action,action
320,western,western
321,drama,comedy
322,horror,sci-fi
323,comedy,drama
324,drama,romance
325,romance,action
326,drama,action
327,western,sci-fi
328,sci-fi,action
329,drama,crime
330,comedy,comedy
331,crime,comedy
332,crime,crime
333,action,horror
334,comedy,western
335,crime,western
336,romance,comedy
337,drama,drama
338,horror,horror
339,crime,action
340,romance,animation
341,romance,action
342,western,drama
343,crime,crime
344,romance,romance
345,western,western
346,drama,drama
347,romance,action
348,horror,action
349,action,romance
350,horror,horror
351,comedy,comedy
352,western,drama
353,horror,horror
354,horror,drama
355,western,comedy
356,comedy,comedy
357,crime,romance
358,comedy,horror
359,drama,western
360,western,western
361,horror,horror
362,drama,romance
363,action,drama
364,action,action
365,horror,horror
366,action,romance
367,comedy,comedy
368,drama,drama
369,horror,horror
370,crime,western
371,western,western
372,romance,action
373,horror,horror
374,drama,comedy
375,drama,comedy
376,animation,comedy
377,drama,drama
378,comedy,drama
379,drama,drama
380,action,comedy
381,romance,action
382,action,action
383,drama,drama
384,romance,drama
385,animation,animation
386,drama,romance
387,sci-fi,action
388,animation,animation
389,drama,crime
390,western,comedy
391,crime,action
392,comedy,horror
393,romance,action
394,horror,comedy
395,comedy,animation
396,crime,crime
397,comedy,comedy
398,western,comedy
399,comedy,crime
400,romance,drama
401,horror,romance
402,horror,drama
403,romance,drama
404,animation,comedy
405,action,drama
406,drama,horror
407,drama,horror
408,horror,horror
409,comedy,comedy
410,comedy,comedy
411,comedy,romance
412,comedy,horror
413,comedy,western
414,drama,action
415,comedy,drama
416,horror,comedy
417,horror,sci-fi
418,western,action
419,comedy,comedy
420,action,drama
421,horror,crime
422,comedy,romance
423,romance,romance
424,horror,horror
425,action,action
426,romance,romance
427,drama,drama
428,western,action
429,drama,drama
430,action,comedy
431,comedy,horror
432,horror,horror
433,crime,drama
434,comedy,drama
435,crime,animation
436,western,crime
437,action,romance
438,animation,animation
439,comedy,comedy
440,crime,crime
441,drama,drama
442,crime,western
443,drama,action
444,action,drama
445,drama,comedy
446,comedy,drama
447,horror,action
448,animation,western
449,drama,drama
450,comedy,action
451,horror,drama
452,drama,animation
453,action,drama
454,action,action
455,horror,comedy
456,action,crime
457,drama,drama
458,drama,drama
459,horror,horror
460,crime,romance
461,comedy,drama
462,comedy,drama
463,western,action
464,drama,drama
465,drama,drama
466,western,drama
467,drama,action
468,comedy,drama
469,comedy,western
470,drama,comedy
471,animation,action
472,comedy,drama
473,action,comedy
474,horror,horror
475,drama,drama
476,western,romance
477,drama,action
478,horror,action
479,drama,drama
480,comedy,comedy
481,horror,drama
482,western,drama
483,action,animation
484,action,horror
485,western,western
486,animation,western
487,horror,drama
488,western,western
489,action,action
490,horror,comedy
491,horror,horror
492,comedy,drama
493,crime,drama
494,romance,romance
495,romance,action
496,drama,horror
497,western,western
498,western,action
499,romance,drama
500,comedy,animation
501,action,action
502,horror,crime
503,comedy,comedy
504,sci-fi,comedy
505,drama,action
506,western,drama
507,drama,action
508,drama,animation
509,horror,horror
510,western,western
511,comedy,drama
512,comedy,comedy
513,romance,comedy
514,comedy,horror
515,horror,western
516,action,crime
517,comedy,comedy
518,drama,romance
519,western,western
520,sci-fi,horror
521,action,action
522,action,crime
523,action,crime
524,action,action
525,drama,crime
526,horror,animation
527,comedy,drama
528,drama,drama
529,romance,romance
530,romance,drama
531,drama,romance
532,drama,horror
533,drama,comedy
534,drama,comedy
535,action,comedy
536,action,horror
537,action,romance
538,drama,crime
539,drama,drama
540,action,action
541,comedy,comedy
542,crime,animation
543,romance,horror
544,comedy,romance
545,animation,animation
546,comedy,sci-fi
547,horror,action
548,crime,animation
549,horror,action
550,horror,animation
551,drama,drama
552,horror,horror
553,horror,drama
554,western,drama
555,animation,drama
556,action,crime
557,romance,romance
558,drama,romance
559,action,romance
560,drama,romance
561,sci-fi,action
562,action,comedy
563,western,action
564,horror,drama
565,crime,crime
566,action,western
567,western,crime
568,drama,horror
569,action,drama
570,western,crime
571,action,horror
572,comedy,comedy
573,comedy,comedy
574,comedy,comedy
575,horror,horror
576,romance,romance
577,action,animation
578,romance,romance
579,action,comedy
580,action,action
581,horror,horror
582,romance,romance
583,western,western
584,drama,action
585,horror,comedy
586,comedy,drama
587,western,drama
588,romance,western
589,western,western
590,horror,comedy
591,romance,romance
592,comedy,western
593,drama,crime
594,drama,horror
595,action,animation
596,romance,action
597,crime,action
598,comedy,romance
599,action,comedy
600,comedy,action
601,animation,horror
602,western,comedy
603,horror,drama
604,drama,horror
605,western,western
606,comedy,crime
607,action,western
608,drama,romance
609,animation,animation
610,crime,comedy
611,western,western
612,sci-fi,sci-fi
613,romance,horror
614,action,romance
615,horror,horror
616,comedy,comedy
617,drama,drama
618,drama,horror
619,horror,romance
620,animation,comedy
621,action,romance
622,romance,comedy
623,comedy,crime
624,horror,drama
625,western,crime
626,comedy,horror
627,action,drama
628,drama,horror
629,horror,drama
630,drama,comedy
631,western,comedy
632,drama,drama
633,romance,romance
634,horror,horror
635,comedy,crime
636,horror,horror
637,romance,romance
638,animation,animation
639,horror,western
640,animation,sci-fi
641,western,horror
642,romance,drama
643,horror,drama
644,action,horror
645,horror,crime
646,drama,drama
647,crime,action
648,western,western
649,horror,horror
650,comedy,romance
651,horror,horror
652,comedy,drama
653,drama,crime
654,action,animation
655,animation,animation
656,drama,drama
657,drama,crime
658,drama,action
659,comedy,comedy
660,comedy,comedy
661,comedy,romance
662,action,crime
663,drama,comedy
664,romance,romance
665,western,western
666,comedy,horror
667,action,action
668,sci-fi,horror
669,comedy,comedy
670,horror,comedy
671,western,western
672,romance,romance
673,animation,animation
674,action,action
675,action,action
676,western,western
677,horror,horror
678,romance,romance
679,horror,crime
680,animation,animation
681,comedy,comedy
682,drama,drama
683,action,horror
684,romance,romance
685,comedy,comedy
686,action,drama
687,drama,comedy
688,romance,romance
689,drama,drama
690,drama,horror
691,action,drama
692,drama,horror
693,drama,action
694,horror,action
695,western,drama
696,horror,animation
697,action,comedy
698,action,action
699,sci-fi,horror
700,romance,romance
701,comedy,crime
702,romance,horror
703,western,western
704,western,drama
705,horror,animation
706,romance,action
707,crime,western
708,sci-fi,drama
709,western,sci-fi
710,drama,drama
711,comedy,romance
712,western,western
713,romance,romance
714,comedy,comedy
715,action,romance
716,animation,animation
717,romance,action
718,romance,western
719,horror,crime
720,horror,crime
721,comedy,drama
722,crime,animation
723,drama,action
724,crime,horror
725,drama,drama
726,western,horror
727,comedy,action
728,drama,drama
729,drama,comedy
730,drama,drama
731,drama,horror
732,action,drama
733,comedy,comedy
734,drama,drama
735,romance,horror
736,horror,drama
737,comedy,comedy
738,horror,romance
739,sci-fi,drama
740,drama,crime
741,drama,comedy
742,comedy,animation
743,drama,comedy
744,action,drama
745,drama,comedy
746,animation,animation
747,comedy,comedy
748,comedy,comedy
749,comedy,comedy
750,horror,horror
751,animation,drama
752,drama,horror
753,romance,action
754,drama,action
755,drama,comedy
756,comedy,sci-fi
757,horror,horror
758,crime,action
759,romance,romance
760,comedy,western
761,romance,romance
762,horror,comedy
763,comedy,western
764,action,action
765,romance,comedy
766,western,romance
767,western,western
768,animation,animation
769,horror,drama
770,comedy,western
771,drama,drama
772,horror,crime
773,horror,crime
774,western,western
775,drama,drama
776,action,action
777,crime,western
778,action,western
779,horror,horror
780,drama,romance
781,crime,romance
782,drama,horror
783,horror,action
784,crime,comedy
785,romance,romance
786,comedy,crime
787,western,crime
788,comedy,comedy
789,romance,drama
790,drama,western
791,horror,western
792,drama,comedy
793,western,western
794,animation,animation
795,romance,romance
796,action,crime
797,romance,comedy
798,horror,horror
799,comedy,animation
800,comedy,western
801,animation,animation
802,drama,comedy
803,action,drama
804,western,western
805,drama,comedy
806,romance,romance
807,action,drama
808,horror,action
809,horror,horror
810,drama,horror
811,western,western
812,drama,comedy
813,drama,drama
814,action,action
815,romance,romance
816,comedy,romance
817,comedy,horror
818,crime,western
819,crime,sci-fi
820,romance,romance
821,drama,drama
822,comedy,drama
823,western,drama
824,western,horror
825,comedy,comedy
826,drama,crime
827,horror,horror
828,western,comedy
829,western,action
830,western,romance
831,drama,drama
832,sci-fi,horror
833,romance,comedy
834,horror,drama
835,western,western
836,crime,drama
837,comedy,action
838,animation,animation
839,drama,horror
840,western,crime
841,crime,crime
842,horror,comedy
843,romance,drama
844,horror,crime
845,western,action
846,drama,action
847,drama,sci-fi
848,comedy,sci-fi
849,crime,horror
850,western,horror
851,romance,action
852,drama,horror
853,comedy,comedy
854,sci-fi,action
855,romance,action
856,romance,drama
857,drama,comedy
858,action,horror
859,action,animation
860,comedy,horror
861,horror,horror
862,romance,comedy
863,drama,comedy
864,action,drama
865,horror,horror
866,animation,animation
867,action,action
868,horror,horror
869,horror,western
870,comedy,comedy
871,comedy,drama
872,drama,animation
873,romance,action
874,drama,western
875,animation,animation
876,western,animation
877,comedy,action
878,action,western
879,comedy,western
880,drama,crime
881,crime,drama
882,drama,horror
883,drama,drama
884,horror,horror
885,horror,drama
886,action,action
887,western,drama
888,romance,romance
889,comedy,comedy
890,horror,drama
891,comedy,drama
892,crime,comedy
893,crime,drama
894,western,western
895,horror,romance
896,horror,horror
897,action,animation
898,drama,drama
899,action,crime
900,comedy,drama
901,drama,comedy
902,drama,horror
903,horror,romance
904,comedy,comedy
905,action,horror
906,drama,action
907,drama,drama
908,western,comedy
909,crime,drama
910,sci-fi,horror
911,romance,comedy
912,horror,horror
913,romance,drama
914,western,western
915,comedy,sci-fi
916,western,western
917,horror,drama
918,comedy,drama
919,romance,romance
920,comedy,crime
921,comedy,comedy
922,western,drama
923,action,action
924,crime,horror
925,drama,drama
926,horror,action
927,comedy,romance
928,drama,western
929,western,western
930,romance,romance
931,horror,drama
932,western,western
933,action,action
934,animation,horror
935,action,drama
936,comedy,drama
937,animation,animation
938,action,action
939,romance,animation
940,romance,drama
941,romance,western
942,animation,drama
943,action,comedy
944,drama,crime
945,crime,sci-fi
946,comedy,drama
947,horror,drama
948,drama,drama
949,comedy,western
950,comedy,drama
951,horror,drama
952,romance,action
953,drama,drama
954,comedy,animation
955,action,drama
956,romance,horror
957,action,drama
958,comedy,drama
959,romance,romance
960,crime,horror
961,romance,romance
962,action,drama
963,drama,comedy
964,drama,horror
965,crime,crime
966,drama,comedy
967,action,comedy
968,animation,animation
969,drama,action
970,action,horror
971,comedy,crime
972,western,drama
973,romance,action
974,action,animation
975,horror,action
976,horror,horror
977,romance,horror
978,romance,romance
979,comedy,horror
980,comedy,drama
981,romance,romance
982,comedy,romance
983,action,action
984,comedy,drama
985,drama,horror
986,crime,action
987,animation,animation
988,comedy,crime
989,comedy,horror
990,animation,action
991,comedy,comedy
992,western,western
993,drama,drama
994,romance,romance
995,action,horror
996,action,action
997,romance,romance
998,western,horror
999,romance,romance
1000,western,western
1001,western,comedy
1002,horror,drama
1003,drama,crime
1004,comedy,comedy
1005,action,sci-fi
1006,horror,drama
1007,horror,sci-fi
1008,drama,horror
1009,action,drama
1010,sci-fi,comedy
1011,horror,horror
1012,drama,drama
1013,comedy,comedy
1014,horror,comedy
1015,action,drama
1016,western,western
1017,animation,animation
1018,horror,crime
1019,drama,drama
1020,action,comedy
1021,drama,animation
1022,horror,horror
1023,drama,comedy
1024,horror,horror
1025,western,sci-fi
1026,drama,western
1027,drama,crime
1028,action,action
1029,drama,action
1030,horror,western
1031,comedy,drama
1032,drama,comedy
1033,action,crime
1034,action,comedy
1035,action,action
1036,action,action
1037,comedy,drama
1038,animation,crime
1039,romance,romance
1040,romance,drama
1041,action,action
1042,action,action
1043,drama,action
1044,comedy,action
1045,action,drama
1046,western,comedy
1047,horror,horror
1048,drama,action
1049,comedy,comedy
1050,comedy,comedy
1051,sci-fi,horror
1052,action,action
1053,romance,action
1054,action,drama
1055,crime,comedy
1056,drama,drama
1057,romance,action
1058,sci-fi,horror
1059,western,western
1060,comedy,action
1061,romance,romance
1062,comedy,horror
1063,drama,comedy
1064,comedy,comedy
1065,drama,drama
1066,drama,drama
1067,horror,horror
1068,romance,western
1069,animation,comedy
1070,romance,drama
1071,romance,romance
1072,comedy,horror
1073,action,action
1074,romance,comedy
1075,action,action
1076,drama,comedy
1077,drama,western
1078,comedy,romance
1079,romance,horror
1080,drama,romance
1081,western,drama
1082,romance,drama
1083,drama,drama
1084,western,action
1085,drama,drama
1086,drama,action
1087,western,western
1088,drama,drama
1089,romance,romance
1090,drama,romance
1091,romance,action
1092,western,drama
1093,romance,western
1094,comedy,comedy
1095,western,western
1096,western,crime
1097,drama,crime
1098,action,action
1099,western,comedy
1100,animation,animation
1101,comedy,crime
1102,animation,action
1103,western,horror
1104,crime,crime
1105,romance,romance
1106,action,action
1107,comedy,action
1108,comedy,comedy
1109,action,animation
1110,comedy,comedy
1111,drama,drama
1112,western,western
1113,action,sci-fi
1114,horror,horror
1115,crime,comedy
1116,horror,horror
1117,drama,drama
1118,comedy,horror
1119,horror,western
1120,sci-fi,comedy
1121,drama,drama
1122,comedy,horror
1123,horror,romance
1124,action,western
1125,animation,animation
1126,romance,action
1127,western,western
1128,sci-fi,romance
1129,drama,action
1130,comedy,western
1131,comedy,drama
1132,comedy,drama
1133,horror,horror
1134,drama,action
1135,crime,drama
1136,sci-fi,horror
1137,action,romance
1138,drama,drama
1139,comedy,romance
1140,romance,comedy
1141,animation,animation
1142,horror,drama
1143,drama,romance
1144,horror,romance
1145,drama,sci-fi
1146,drama,drama
1147,western,western
1148,comedy,horror
1149,sci-fi,sci-fi
1150,western,comedy
1151,sci-fi,action
1152,action,romance
1153,horror,western
1154,western,crime
1155,comedy,drama
1156,action,drama
1157,romance,drama
1158,action,action
1159,western,crime
1160,crime,drama
1161,animation,drama
1162,western,action
1163,action,action
1164,comedy,romance
1165,romance,comedy
1166,drama,horror
1167,drama,comedy
1168,drama,romance
1169,action,horror
1170,crime,comedy
1171,romance,drama
1172,crime,action
1173,romance,romance
1174,western,action
1175,sci-fi,horror
1176,western,action
1177,horror,horror
1178,animation,animation
1179,drama,crime
1180,comedy,drama
1181,drama,comedy
1182,romance,action
1183,crime,drama
1184,romance,drama
1185,romance,action
1186,animation,drama
1187,comedy,horror
1188,horror,western
1189,action,drama
1190,western,comedy
1191,drama,action
1192,crime,horror
1193,western,western
1194,horror,sci-fi
1195,animation,animation
1196,action,drama
1197,animation,animation
1198,drama,crime
1199,romance,drama
1200,comedy,drama
1201,action,drama
1202,action,western
1203,action,drama
1204,drama,animation
1205,drama,comedy
1206,romance,horror
1207,romance,romance
1208,animation,animation
1209,action,action
1210,drama,crime
1211,drama,drama
1212,horror,horror
1213,drama,crime
1214,comedy,horror
1215,action,action
1216,animation,animation
1217,drama,horror
1218,comedy,comedy
1219,animation,comedy
1220,crime,horror
1221,horror,horror
1222,comedy,drama
1223,western,drama
1224,horror,action
1225,comedy,comedy
1226,drama,comedy
1227,drama,crime
1228,animation,animation
1229,drama,drama
1230,horror,horror
1231,romance,romance
1232,western,western
1233,horror,comedy
1234,action,action
1235,western,horror
1236,horror,drama
1237,drama,romance
1238,crime,comedy
1239,comedy,drama
1240,western,comedy
1241,drama,drama
1242,horror,romance
1243,horror,drama
1244,romance,action
1245,comedy,romance
1246,western,horror
1247,western,romance
1248,animation,drama
1249,action,western
1250,horror,comedy
1251,horror,horror
1252,horror,drama
1253,horror,horror
1254,drama,romance
1255,comedy,comedy
1256,drama,crime
1257,horror,horror
1258,drama,western
1259,comedy,western
1260,romance,crime
1261,action,western
1262,comedy,western
1263,comedy,comedy
1264,western,horror
1265,drama,romance
1266,romance,romance
1267,animation,animation
1268,comedy,crime
1269,animation,animation
1270,horror,horror
1271,comedy,drama
1272,action,western
1273,comedy,western
1274,comedy,crime
1275,crime,crime
1276,western,western
1277,comedy,western
1278,crime,comedy
1279,action,western
1280,action,comedy
1281,crime,comedy
1282,horror,horror
1283,horror,animation
1284,crime,romance
1285,crime,action
1286,action,western
1287,crime,western
1288,drama,romance
1289,comedy,drama
1290,animation,sci-fi
1291,crime,crime
1292,western,western
1293,drama,drama
1294,drama,action
1295,western,western
1296,action,drama
1297,western,western
1298,romance,drama
1299,action,action
1300,action,romance
1301,action,comedy
1302,drama,animation
1303,comedy,comedy
1304,western,animation
1305,animation,animation
1306,comedy,comedy
1307,romance,drama
1308,drama,romance
1309,drama,western
1310,romance,romance
1311,horror,drama
1312,sci-fi,sci-fi
1313,western,western
1314,horror,drama
1315,western,crime
1316,action,action
1317,animation,animation
1318,horror,western
1319,romance,romance
1320,romance,romance
1321,western,horror
1322,drama,romance
1323,western,romance
1324,crime,crime
1325,horror,western
1326,action,horror
1327,comedy,western
1328,action,action
1329,drama,action
1330,crime,comedy
1331,comedy,action
1332,horror,horror
1333,drama,drama
1334,drama,drama
1335,drama,drama
1336,comedy,drama
1337,drama,animation
1338,animation,animation
1339,horror,drama
1340,romance,romance
1341,animation,animation
1342,drama,drama
1343,comedy,crime
1344,drama,comedy
1345,horror,horror
1346,romance,romance
1347,comedy,comedy
1348,horror,drama
1349,drama,drama
1350,drama,comedy
1351,animation,animation
1352,romance,drama
1353,action,comedy
1354,animation,animation
1355,western,western
1356,horror,drama
1357,animation,western
1358,romance,action
1359,drama,drama
1360,comedy,comedy
1361,comedy,animation
1362,horror,drama
1363,crime,crime
1364,drama,romance
1365,comedy,comedy
1366,crime,comedy
1367,action,horror
1368,romance,comedy
1369,romance,horror
1370,horror,romance
1371,comedy,horror
1372,animation,animation
1373,comedy,comedy
1374,animation,animation
1375,comedy,drama
1376,romance,horror
1377,comedy,action
1378,comedy,drama
1379,drama,western
1380,action,drama
1381,romance,action
1382,drama,action
1383,romance,drama
1384,horror,action
1385,action,action
1386,horror,horror
1387,horror,crime
1388,crime,animation
1389,horror,western
1390,romance,drama
1391,drama,romance
1392,sci-fi,sci-fi
1393,crime,crime
1394,western,action
1395,sci-fi,animation
1396,comedy,horror
1397,horror,drama
1398,romance,action
1399,drama,drama
1400,comedy,comedy
1401,animation,western
1402,action,western
1403,action,animation
1404,horror,drama
1405,drama,horror
1406,romance,drama
1407,romance,action
1408,western,action
1409,comedy,comedy
1410,action,action
1411,western,western
1412,action,comedy
1413,horror,horror
1414,drama,drama
1415,animation,animation
1416,comedy,drama
1417,romance,romance
1418,comedy,animation
1419,comedy,comedy
1420,comedy,western
1421,drama,comedy
1422,comedy,comedy
1423,western,western
1424,comedy,sci-fi
1425,comedy,action
1426,drama,drama
1427,crime,drama
1428,romance,romance
1429,animation,crime
1430,animation,horror
1431,comedy,crime
1432,comedy,comedy
1433,horror,drama
1434,horror,horror
1435,drama,sci-fi
1436,romance,romance
1437,crime,crime
1438,comedy,action
1439,drama,drama
1440,animation,animation
1441,romance,comedy
1442,action,western
1443,action,drama
1444,comedy,comedy
1445,western,western
1446,romance,horror
1447,crime,crime
1448,drama,drama
1449,animation,animation
1450,western,comedy
1451,romance,romance
1452,crime,comedy
1453,romance,crime
1454,horror,action
1455,comedy,western
1456,action,comedy
1457,drama,drama
1458,drama,horror
1459,western,action
1460,romance,romance
1461,action,comedy
1462,western,romance
1463,drama,sci-fi
1464,crime,comedy
1465,drama,comedy
1466,comedy,action
1467,comedy,comedy
1468,western,western
1469,action,drama
1470,romance,romance
1471,western,comedy
1472,western,western
1473,comedy,horror
1474,action,romance
1475,drama,drama
1476,drama,romance
1477,comedy,horror
1478,romance,comedy
1479,animation,animation
1480,comedy,drama
1481,action,action
1482,romance,comedy
1483,drama,western
1484,romance,action
1485,romance,western
1486,horror,horror
1487,romance,romance
1488,horror,western
1489,animation,horror
1490,animation,drama
1491,horror,animation
1492,horror,action
1493,drama,comedy
1494,horror,romance
1495,western,western
1496,western,western
1497,western,western
1498,action,action
1499,action,horror
1500,action,drama
1501,action,action
1502,romance,romance
1503,romance,romance
1504,comedy,action
1505,horror,horror
1506,drama,comedy
1507,action,romance
1508,action,comedy
1509,crime,drama
1510,drama,comedy
1511,horror,horror
1512,drama,comedy
1513,drama,action
1514,horror,comedy
1515,sci-fi,sci-fi
1516,sci-fi,horror
1517,drama,crime
1518,romance,action
1519,western,western
1520,comedy,drama
1521,drama,comedy
1522,sci-fi,action
1523,drama,animation
1524,animation,crime
1525,drama,drama
1526,horror,comedy
1527,western,western
1528,animation,animation
1529,animation,animation
1530,comedy,comedy
1531,drama,romance
1532,drama,drama
1533,western,comedy
1534,drama,comedy
1535,drama,crime
1536,action,drama
1537,horror,action
1538,sci-fi,horror
1539,animation,romance
1540,comedy,comedy
1541,action,romance
1542,animation,horror
1543,comedy,romance
1544,western,western
1545,animation,drama
1546,comedy,romance
1547,western,sci-fi
1548,western,action
1549,horror,horror
1550,animation,animation
1551,romance,drama
1552,animation,animation
1553,horror,action
1554,action,action
1555,animation,crime
1556,horror,horror
1557,animation,action
1558,comedy,action
1559,drama,romance
1560,drama,horror
1561,horror,horror
1562,drama,action
1563,horror,horror
1564,comedy,action
1565,horror,horror
1566,action,action
1567,horror,romance
1568,drama,animation
1569,comedy,action
1570,horror,romance
1571,drama,drama
1572,animation,drama
1573,romance,crime
1574,romance,horror
1575,horror,horror
1576,drama,drama
1577,crime,comedy
1578,romance,animation
1579,crime,western
1580,animation,animation
1581,drama,action
1582,western,drama
1583,drama,comedy
1584,romance,romance
1585,western,drama
1586,romance,drama
1587,western,drama
1588,crime,horror
1589,horror,drama
1590,comedy,drama
1591,sci-fi,horror
1592,horror,sci-fi
1593,drama,sci-fi
1594,crime,drama
1595,comedy,drama
1596,action,western
1597,animation,drama
1598,horror,comedy
1599,action,action
1600,western,western
1601,western,horror
1602,action,western
1603,action,comedy
1604,horror,horror
1605,action,drama
1606,western,western
1607,romance,drama
1608,sci-fi,comedy
